名称,价格,出发地,已售,评分
北京科技馆私人讲解门票导游中国科学技术馆儿童研学一日营夏令营,218,出发地：北京,已售0,5.0
河北承德3日游（含往返高铁票·人气大咖四大景区精讲·避暑山庄+普宁寺+小布达拉宫+棒槌山含门票）,728,出发地：北京,已售0,5.0
【高品质纯玩团·可选五环内接】颐和园+圆明园+恭王府或天坛一日,98,出发地：北京,已售0,5.0
【京状元·国博精讲团】北京中国国家博物馆一日游+导游深度讲解多套餐可选+大国重器的前世今生,58,出发地：北京,已售23,5.0
北京恭王府一日游门票+什刹海自由行米游记人工精讲大咖精讲解密恭王府三绝,68,出发地：北京,已售18,5.0
北京故宫博物馆+中国国家博物馆+天安门广场一日游,168,出发地：北京,已售90,4.8
【可选五环内接】颐和园+八达岭长城+鸟巢水立方【纯玩】一日游,169,出发地：北京,已售0,5.0
【酒店套餐】古北之光温泉酒店+古北水镇双人门票+双人天然温泉+火锅餐+无人机表演+水舞秀+双人直通车,1372,出发地：北京,已售0,5.0
北京八达岭长城+颐和园一日游【五环内含接 可选晚出发颐和园 可独立成团】,105,出发地：北京,已售23,5.0
北京/天津出发天津一日游纯玩跟团旅游相声演出·海河游船·五环内接,78,出发地：北京,已售0,4.9
天坛/恭王府+颐和园+圆明园【可选午餐/五环内接/单独导游/单独车辆】,98,出发地：北京,已售0,5.0
古北水镇一日游【自行集合+午餐】司马台长城日/夜游+音乐水舞秀,278,出发地：北京,已售0,4.9
八达岭长城一日游【舒适游.可选早出发七点十点晚出发十二点.】,78,出发地：北京,已售0,5.0
【北京精致团】颐和园一日游 导游深度讲解【可+八达岭长城+天坛公园+恭王府+圆明园+五环内接驾】,39,出发地：北京,已售0,暂无评分
【北京旅游集散中心】黄花城水长城景区品牌专线、 国企出行、品质保障、景区停留5小时,110,出发地：北京,已售0,5.0
北京天文馆半日游一日游VIP小团含资深导游人工耳麦讲解,69,出发地：北京,已售0,5.0
【探索骑游】天安门、永定门、角楼中轴线 一日游 感受百年帝都,349,出发地：北京,已售0,5.0
【酒店套餐】古北水镇旗下客栈+双人早餐+双人不限次门票+双人天然温泉+无人机表演+水舞秀+双人直通车,1056,出发地：北京,已售0,4.9
【故宫博物院】私家团一对一家庭4小时讲解不拼团，观三宫六院，寻找深宫怪兽，聆听宫内趣历史,600,出发地：北京,已售0,5.0
慕田峪长城一日游【赞巴士mini·8人小团·懒睡出发·2-3家·上门接·回鼓楼】,240,出发地：北京,已售26,5.0
【天坛公园】私家团一对一1.5小时讲解不拼团，孟春祈谷梦夏祈雨冬至祭天，聆听天坛趣历史。,298,出发地：北京,已售0,5.0
【嗨玩天津】领略天津之美·天津一日游听相声+赠送广东会馆门票,98,出发地：北京,已售0,暂无评分
【京状元·天坛精讲团】北京天坛一日游+导游深度讲解【上午场/下午场/VIP小团/多套餐可选】,88,出发地：北京,已售22,5.0
【三班滚动发班】八达岭长城+鸟巢水立方1日游,74,出发地：北京,已售0,暂无评分
幕田峪长城纯玩一日游【可选五环内上门接 精品导游讲解 门票+车费】,108,出发地：北京,已售0,暂无评分
【北京精致团】恭王府一日游 导游深度讲解【可+黄包车+天坛公园+颐和园+圆明园+五环内接驾】,68,出发地：北京,已售0,5.0
北京自然博物馆一日游（博士硕士老师讲解）,118,出发地：北京,已售46,4.9
不含门票【北京三日游:全家出游 私家团 不拼团】甄选5A级精华景区一览到底,829,出发地：北京,已售0,暂无评分
【优选私家团·五环上门接/送】北京野生动物园一日游·7小时行程体验游·亲近大自然,80,出发地：北京,已售21,5.0
【酒店套餐】古北水镇景区内客栈+门票+天然温泉+音乐水舞秀+无人机表演(可选司马台|市区往返车),798,出发地：北京,已售0,5.0
故宫博物院+天坛一日游【老北京全聚德正宗烤鸭&小包团&京腔精讲&精品纯玩&尊享】,650,出发地：北京,已售0,暂无评分
北京清凉谷风景区包车一日游【春游踏青/团建拓展亲子游上门接】,798,出发地：北京,已售0,5.0
孝敬父母北京4天3晚纯玩无自费亲子游故宫+八达岭长城+天安门+天坛+颐和园【看升旗＋24h免费接送】,1250,出发地：北京,已售0,暂无评分
【去哪优选团】北京故宫4小时讲解一日游【可选私家团+五环上门接+无线耳麦+中国国家博物馆】,33,出发地：北京,已售0,4.0
平谷石林峡登一日游【空中漫步UFO观景台+打卡网红赏黄龙七彩瑶池+踏青赏花一站直达】,68,出发地：北京,已售0,5.0
"【恭王府一对一私人家庭1.5小时讲解不拼团】玩转和珅府,抓福带回家.",388,出发地：北京,已售0,5.0
北京出发天津意式风情街古文化街相声演出--五环内接跟团一日游,78,出发地：北京,已售0,暂无评分
北京八达岭跳伞 12000英尺高空跳伞八达岭长城跳伞,99,出发地：北京,已售0,暂无评分
故宫博物院人工3小时深度讲解*私家团亲子游*可约中英文双语讲解不含门票,108,出发地：北京,已售0,5.0
北京恭王府+什刹海半日游·（可选恭王府+天坛1日游.深度讲解）,68,出发地：北京,已售0,暂无评分
雍和宫一日游【拜佛祈福】门票+资深讲解雍和宫,65,出发地：北京,已售0,5.0
【京状元·长城精讲团】北京八达岭长城一日游【景区专线+往返专车+多班次可选】,128,出发地：北京,已售0,5.0
北京恭王府+什刹海【纯玩】半日游,58,出发地：北京,已售0,5.0
北京银山塔林+黄花城水长城包车一日游|独立包车+上门接送,658,出发地：北京,已售0,5.0
"【恭王府一对一私人家庭3小时讲解不拼团】玩转和珅府,抓福带回家.",550,出发地：北京,已售0,暂无评分
【慕巴士】北京野生动物园直通车|6小时安心畅游|免费改签|,80,出发地：北京,已售0,4.9
【北京3日包车游私人定制】畅玩北京/深度游玩/轻奢小团,98,出发地：北京,已售0,5.0
北京故宫人工4小时专业导游深度讲解精致小团半日游l不含门票！,168,出发地：北京,已售0,5.0
【品质团·含门票】北京故宫一日游+网红导游讲解,108,出发地：北京,已售0,5.0
中国国家博物馆深度讲解一日游(含门票+网红导游深度讲解),188,出发地：北京,已售0,5.0
丰宁坝上草原2日1晚跟团游 寻梦草原+专车专导+打卡京北草原天路+纯玩0购物+拼住无忧,238,出发地：北京,已售0,5.0
天津瓷房子+古文化街+意大利风情区+坐船赏海河美景一日游|五环内上门接或自行集合、含瓷房子门票及船票,138,出发地：北京,已售0,4.6
【精致团】颐和园+圆明园联票+天坛联票【纯玩】一日游,85,出发地：北京,已售0,4.4
黄花城水长城旅游交通+门票一日游【赞巴士 品牌专线】,130,出发地：北京,已售0,5.0
【红螺寺+雁栖湖1日】祈福求姻缘，游千年古刹，@雁栖湖观景台,98,出发地：北京,已售0,5.0
中国国家博物馆半日游【多种团型可选/资深老师深度讲解/帮约门票/观赏穿越千年中华珍宝】,138,出发地：北京,已售16,暂无评分
北京天坛半日游【帮约门票/十人精品小团/3H深度讲解】,99,出发地：北京,已售12,暂无评分
"【旅游集散中心】北京雁栖湖景区一日游，国企保障+无购物,景区停留5小时",90,出发地：北京,已售0,5.0
【黄花城水长城1日】桃花·水·长城 看长城绕湖畔-观巨龙探水湾-赏沧桑古栗园-览峭壁山水潭,108,出发地：北京,已售11,暂无评分
【百里画廊1日】尽享延庆山水画卷 永宁古城-干沟-奶山湖-滴水壶,118,出发地：北京,已售0,5.0
【妫水河骑行1日】北京十佳骑行线路 妫河-世葡园-阪泉33公里休闲骑游 一路春风拂面,188,出发地：北京,已售0,5.0
【酒店套餐】北京环球度假区诺金度假酒店1晚+双人环球主题乐园门票+提前1小时入园,3086,出发地：北京,已售0,5.0
【东灵山1日】登顶北京高峰-腾云驾雾赏旷世之美,118,出发地：北京,已售0,5.0
北京孔庙国子监博物馆【1-3自由行 实景密室专场】【临雍轶事】,178,出发地：北京,已售0,暂无评分
"北京故宫讲解【3小时讲解10人拼团】【探故宫正大光明匾后机,寻找故宫怪兽.】",128,出发地：北京,已售0,暂无评分
【包车安心游】北京十渡野三坡漂流包车一日游【团建亲子郊游】,100,出发地：北京,已售0,5.0
北京爨底下+灵水村+双龙峡包车一日游,100,出发地：北京,已售0,5.0
畅游北京环球影城：畅享6小时导游带玩/快速游玩/优速通，多重套餐尽览精彩纷呈！,708,出发地：北京,已售0,暂无评分
故宫博物院+慕田峪长城一日游【可上门接&京腔精讲&精华景点&优选纯玩&限时赠送精美小礼品】,1000,出发地：北京,已售0,暂无评分
北京金海湖风景区包车一日游|纯玩 周末游.团建拓展.上门接送,688,出发地：北京,已售0,5.0
【张北草原天路包车1日2日多日草原环线定制】暑期亲子避暑纳凉／公司团建夏令营,100,出发地：北京,已售0,5.0
亮马河国际风情水岸【观光游船多种船型（可选日间/夜间）】,80,出发地：北京,已售0,5.0
【私家小团/公司团建】慕田峪八达岭颐和园鸟巢水立方包车一日游,198,出发地：北京,已售0,暂无评分
【慕田峪长城景区往返直通车：往返车票+门票】体验长城的山花烂漫,80,出发地：北京,已售0,暂无评分
【特惠私家团·五环上门接送】北京野生动物园一日游·7小时行程体验游·亲近大自然,78,出发地：北京,已售0,4.8
【金海湖1日】北京千岛湖の船游锯齿崖岛桃花岛-尽享湖光山色-浪漫休闲一日行,198,出发地：北京,已售0,5.0
【海坨山谷露营2日 】音乐-星光-云海-银河の去瑞士小镇露营，过最浪漫假期,358,出发地：北京,已售0,5.0
testa日游testasd,11,出发地：北京,已售0,暂无评分
【酒店套餐】水镇大酒店+双人不限次门票+双人自助早餐+双人天然温泉+双人午餐+无人机表演+水舞秀,1336,出发地：北京,已售0,5.0
承德旅游 塞罕坝内蒙古木兰围场乌兰布统坝上草原3天2晚跟团游,488,出发地：北京,已售0,5.0
北京八达岭长城一日游（7点10点12点多班出发）纯玩无购物（）,118,出发地：北京,已售0,5.0
北京天坛半日游（经典人工讲解，知识有趣丰富）可+颐和园+恭王府+圆明园等线路,78,出发地：北京,已售0,5.0
古北水镇优选一日游【观水舞秀/赏日夜全景/特色午餐】,278,出发地：北京,已售0,暂无评分
"北京恭王府景区讲解【3小时讲解10人小包拼团】【转和珅府邸,观藏宝楼.,聆听趣史】",88,出发地：北京,已售0,暂无评分
中国国家博物馆资深导游讲师精讲深度研学文化1日游,168,出发地：北京,已售0,暂无评分
【高铁保证有票】承德避暑山庄一日游（大咖说 含门票·人气大咖精讲·原创省力路线·深度解锁）,399,出发地：北京,已售0,暂无评分
北京一日游故宫一日游金牌导游多维度深度讲解+珍宝馆 私家小包团北京,1500,出发地：北京,已售0,暂无评分
天坛一日游公园联票+导游深度讲述天坛的历史文化+建筑精髓,78,出发地：北京,已售0,5.0
天文馆门票+博士硕士老师讲解一日游,68,出发地：北京,已售0,5.0
【古北水镇包车安心游】古北水镇包车一日游小众出行避开人流,100,出发地：北京,已售0,5.0
【故宫博物院】私家团一对一家庭4小时讲解不拼团，观三宫六院，寻找深宫怪兽，聆听宫内趣历史,600,出发地：北京,已售0,5.0
北京青龙峡旅游交通+门票一日游【赞巴士 品牌专线】,125,出发地：北京,已售0,暂无评分
北京故宫+八达岭+颐和园二日游【宿五星级酒店+五环内上门接+自助早餐】,830,出发地：北京,已售0,暂无评分
古北水镇一日游+司马台长城纯玩北京纯玩儿往返大巴,60,出发地：北京,已售0,5.0
古北水镇一日游+往返舒适大巴+分餐制/铜锅涮肉+观无人机水舞秀,278,出发地：北京,已售0,暂无评分
北京八达岭长城一日游【五环内含接小包团·可选颐和园/十三陵/接升旗】,96,出发地：北京,已售0,暂无评分
【标杆产品·可选私家小团】北京慕田峪高端纯玩一日跟团游,119,出发地：北京,已售0,5.0
恭王府+雍和宫跟团一日游【含门票资深导游深度讲解领略王府之尊】,188,出发地：北京,已售0,暂无评分
北京天坛（专业导游讲解VIP家庭游，孟春祈谷、孟夏祈雨、冬至祭天）,458,出发地：北京,已售0,5.0
北京八达岭长城+钓鱼台银杏大道一日游|赏秋纯玩独立包车上门接送,618,出发地：北京,已售0,暂无评分
【酒景套餐】承德星程酒店1晚+鼎盛王朝康熙大典2张票+2人早餐,638,出发地：北京,已售0,5.0
【易水湖1日】北方小桂林の《赤壁》取景地-太行水镇休闲踏春活动,118,出发地：北京,已售0,暂无评分
"【颐和园】私家团一对一1.5小时讲解,观慈禧避暑圣地,聆听趣历史.",298,出发地：北京,已售0,暂无评分
【天坛讲解】私家团一对一2.5小时讲解不拼团，孟春祈谷梦夏祈雨冬至祭天，聆听天坛趣历史。,450,出发地：北京,已售0,暂无评分
【月坨岛2日】【宿岛上】邂逅荷兰风情海岛-体验马尔代夫的浪漫情怀,598,出发地：北京,已售0,暂无评分
北京房山白草畔自然风景区一日游|独立包车/赏秋佳景/上门接送,798,出发地：北京,已售0,5.0
北京出发避暑山庄+木兰围场+乌兰布统草原双汽3日+特色碳烤全羊,698,出发地：北京,已售0,暂无评分
北京中国国家博物馆一日游【穿越历史的长河&探索和发现五千年中华文明的进步】,100,出发地：北京,已售0,暂无评分
宫候旅行 北京一日游 恭王府加北海导游讲解深度跟团游,886,出发地：北京,已售0,暂无评分
【八达岭长城直通车】景区专线 体验长城纯净之美,80,出发地：北京,已售0,暂无评分
【赞巴士ZanBus】北京南宫五洲植物乐园交通+门票一日游,150,出发地：北京,已售0,暂无评分
丰宁坝上+木兰围场乌兰布统坝上草原3日游（勇士越野穿越+蒙服拍照+神仙谷七彩森林+篝火晚会星空趴）,588,出发地：北京,已售0,暂无评分
丰宁坝上+木兰围场乌兰布统坝上草原3日游（勇士越野穿越+蒙服拍照+神仙谷七彩森林+篝火晚会星空趴）,528,出发地：北京,已售0,暂无评分
【八达岭长城直通车】景区专线 体验长城纯净之美,80,出发地：北京,已售0,暂无评分
【慕田峪长城景区往返直通车】体验长城的山花烂漫,80,出发地：北京,已售0,暂无评分
通州运河骑行半日游一枝塔影认通州,350,出发地：北京,已售0,暂无评分
骑迹新国门发现兴世界南中轴古风国音艺术线骑行一日游,350,出发地：北京,已售0,暂无评分
北京金山岭长城一日游|独立包车/踏青赏春/五环内上门接送,958,出发地：北京,已售0,暂无评分
骑迹新国门发现兴世界永定河寻古问今文化线骑行一日游,350,出发地：北京,已售0,暂无评分
北京慕田峪长城景区讲解【秀才说导游讲解 旅游巴士】,115,出发地：北京,已售0,暂无评分
北京皇城根下纯玩五日跟团游（故宫-天坛公园-升国旗-八达岭）,950,出发地：北京,已售0,暂无评分
"【颐和园】私家团一对一3小时讲解,观慈禧避暑圣地,聆听趣历史.",550,出发地：北京,已售0,暂无评分
【送不限量铜锅涮羊肉】乌兰布统+木兰围场+承德坝上草原+塞罕坝3日游/2-8人Mini团,1369,出发地：北京,已售0,暂无评分
河北承德2日游（含往返高铁票·人气大咖四大景区精讲·避暑山庄+普宁寺+小布达拉宫+棒槌山含门票）,678,出发地：北京,已售0,暂无评分
北京金海湖+丫髻山包车一日游【独立包车/自然风光/上门接送】,758,出发地：北京,已售0,4.7
【周边包车游】北京石林峡+玻璃栈道包车一日游【亲子团建郊游】,58,出发地：北京,已售0,5.0
北京白瀑寺+京西十八潭一日游（踏青赏花、亲子郊游、公司团建、免费定制）,688,出发地：北京,已售0,暂无评分
丰宁坝上草原2日1晚跟团游 晚餐升级不限量BBQ烧烤+啤酒畅饮+玩法升级+草原环线体验+篝火联欢晚会,298,出发地：北京,已售0,暂无评分
打卡【网红刘家河】 蝶舞玻璃光景平台 拒马乐园畅玩二日游,398,出发地：北京,已售0,暂无评分
丰宁坝上草原2日跟团游 出寻塞北夕阳牧归辽阔京北草原+宿观景房+甄选2小时深度越野+民族服饰体验,338,出发地：北京,已售0,暂无评分
2-8人小团北京到承德坝上草原赤峰乌兰布统木兰围场塞罕坝3天2晚,1089,出发地：北京,已售0,暂无评分
【慕巴士】黄花城水长城直通车一日游登城+赏花+乘船赏山水长城,130,出发地：北京,已售0,5.0
【红螺寺+雁栖湖1日】名山古刹の祈福纳祥-雁栖湖观景台,98,出发地：北京,已售0,4.7
【古北水镇1日】长城下的星空小镇 司马台长城 网红打卡圣地,138,出发地：北京,已售0,5.0
北京恭王府【1-3人自由行-恭王府电子实景密室专场】【王府迷阵】,288,出发地：北京,已售0,暂无评分
北京恭王府【1-3人自由行-恭王府电子实景密室专场】【王府迷阵】,288,出发地：北京,已售0,暂无评分
【神堂峪栈道+篱苑书屋1日】怀柔山水 徒步神堂峪山水栈道-欣赏篱苑书屋,128,出发地：北京,已售0,暂无评分
【石林峡1日】母亲节节日特惠の赏北国石林-观七彩瑶池-游峡谷险峰-战宇宙之眼,108,出发地：北京,已售0,暂无评分
【十渡东湖港1日】京西小桂林 七彩玻璃漂流 （含门票、玻璃栈道）,108,出发地：北京,已售0,暂无评分
北京孔庙国子监博物馆【1-3自由行 实景密室专场】【临雍轶事】,178,出发地：北京,已售0,暂无评分
【坝上草原2日】坝上正确打开方式 摄影、骑马、篝火、烤全羊、卡拉OK……,398,出发地：北京,已售0,5.0
每天发团【五台山2日】访五台祈福之旅，好运来,268,出发地：北京,已售0,5.0
【爨底下村+灵水村1日】门头沟古村探索の北京美丽乡村爨底下-1日文化摄影之旅,108,出发地：北京,已售0,5.0
【仙螺岛2日】南北戴河の网红打卡阿那亚-地中海风情碧螺塔-仙螺岛-游船出海观光,458,出发地：北京,已售0,暂无评分
北京百里山水画廊包车一日游【家庭亲子郊游/公司团建私人定制】,100,出发地：北京,已售0,5.0
北京龙庆峡包车一日游【家庭亲子郊游公司团建私人定制】,200,出发地：北京,已售0,暂无评分
天津一日游瓷房子+古文化街+广东会馆+塘沽出海+摩天轮观光+餐☆赠送广东会馆门票【可选五环内上门接】,98,出发地：北京,已售0,暂无评分
北京出发北戴河纯玩3日游（6人精品团+含往返动车·碧螺塔·北方小圣托+鸽子窝·渔岛海洋乐园·老龙头）,1908,出发地：北京,已售0,暂无评分
北京出发 8人Mini团/乌兰布统+木兰围场+塞罕坝3日游,1269,出发地：北京,已售0,5.0
木兰围场+塞罕坝+乌兰布统3日游/2-6人团别克GL8商务车,1980,出发地：北京,已售0,暂无评分
北京大兴野生动物园旅游往返交通一日游【赞巴士 品牌专线】,80,出发地：北京,已售0,暂无评分
三毛游●北京故宫 3.5H人工讲解 大咖讲师领讲 VIP小团 不含门票,139,出发地：北京,已售0,5.0
2-8人小团北京到承德坝上草原赤峰乌兰布统木兰围场塞罕坝3天2晚,1089,出发地：北京,已售0,5.0
三毛游●中国国家博物馆 3H串联上下五千年国家宝藏 大咖讲师领讲 VIP小团讲解,269,出发地：北京,已售0,5.0
北京恭王府深度讲解（私人家庭小包讲解、观三绝一宝、寻和珅家密宝、聆听恭王府趣事）,458,出发地：北京,已售0,暂无评分
北京清凉谷旅游交通+门票一日游【赞巴士 品牌专线】,125,出发地：北京,已售0,暂无评分
北京出发+木兰围场+乌兰布统草原双汽两日游+赠特色烤全羊,528,出发地：北京,已售0,暂无评分
夜游北京夜景（南锣锅巷-世贸天阶-长安街/东单-西单段 天安门广场车览一圈前门步行街）,558,出发地：北京,已售0,暂无评分
【酒店套餐】坝上草原丽洲假日酒店+坝上草原门票+早餐【可选自助烧烤/各景区门票/烤羊排/羊腿/骑马】,158,出发地：北京,已售0,暂无评分
【酒店套餐】北京九华山庄1晚+2大1小早餐+美人鱼双人温泉/温泉主题公园+赠送星巴克+送游戏币,566,出发地：北京,已售0,暂无评分
北京出发承德木兰围场乌兰布统草原双汽三日游+赠送特色烤全羊,598,出发地：北京,已售0,暂无评分
【酒店套餐】【春日之约】北京瑜舍酒店1-2晚精选套餐,4059,出发地：北京,已售0,暂无评分
北京到五台山俩日游,298,出发地：北京,已售0,暂无评分
【酒店套餐】固安福朋喜来登酒店1晚+2大1小早餐+北京野生动物园（大兴）法定节假日需加价,888,出发地：廊坊,已售0,暂无评分
北京环球度假区一日游【景区直达直通车】,80,出发地：天津,已售0,5.0
北京石林峡【网红打卡，石林三绝，九天飞瀑，高速直达】,128,出发地：天津,已售0,暂无评分
北京环球影城度假区一日游【天津出发往返直通车车位】,120,出发地：天津,已售0,5.0
北京野生动物园一日游【三河、燕郊等地出发，人数较多可咨询包团】,258,出发地：廊坊,已售0,暂无评分
